Time,Voltage
0.01,-2.327774
0.02,-2.393313
0.03,-2.455624
0.04,-2.512769
0.05,-2.564102
0.06,-2.613499
0.07,-2.665478
0.08,-2.719717
0.09,-2.778477
0.1,-2.837236
0.11,-2.89083
0.12,-2.933769
0.13,-2.967991
0.14,-2.990591
0.15,-3.001568
0.16,-2.993174
0.17,-2.952172
0.18,-2.858867
0.19,-2.696472
0.2,-2.448521
0.21,-2.114691
0.22,-1.703699
0.23,-1.233625
0.24,-0.727714
0.25,-0.212118
0.26,0.283784
0.27,0.74159
0.28,1.151291
0.29,1.511595
0.3,1.822502
0.31,2.088856
0.32,2.317436
0.33,2.514376
0.34,2.684842
0.35,2.827866
0.36,2.945385
0.37,3.034492
0.38,3.093574
0.39,3.126505
0.4,3.135222
0.41,3.117466
0.42,3.070652
0.43,2.995104
0.44,2.884689
0.45,2.741987
0.46,2.576041
0.47,2.398795
0.48,2.22284
0.49,2.05657
0.5,1.908381
0.51,1.781177
0.52,1.67625
0.53,1.588434
0.54,1.513209
0.55,1.443473
0.56,1.372768
0.57,1.300772
0.58,1.231681
0.59,1.164528
0.6,1.09576
0.61,1.017629
0.62,0.935302
0.63,0.847486
0.64,0.756764
0.65,0.664428
0.66,0.576935
0.67,0.489442
0.68,0.401626
0.69,0.312195
0.7,0.223734
0.71,0.138178
0.72,0.053267
0.73,-0.03358
0.74,-0.122042
0.75,-0.207921
0.76,-0.289925
0.77,-0.369024
0.78,-0.445541
0.79,-0.523025
0.8,-0.594699
0.81,-0.664758
0.82,-0.735785
0.83,-0.805199
0.84,-0.874289
0.85,-0.944994
0.86,-1.015376
0.87,-1.086404
0.88,-1.160014
0.89,-1.231688
0.9,-1.303684
0.91,-1.37342
0.92,-1.436054
0.93,-1.491262
0.94,-1.54195
0.95,-1.593929
0.96,-1.651074
0.97,-1.714676
0.98,-1.782798
0.99,-1.848983
1,-1.914845
1.01,-1.975864
1.02,-2.03204
1.03,-2.083374
1.04,-2.133416
1.05,-2.184104
1.06,-2.235761
1.07,-2.29
1.08,-2.341656
1.09,-2.39073
1.1,-2.434961
1.11,-2.476286
1.12,-2.5118
1.13,-2.530526
1.14,-2.515674
1.15,-2.452395
1.16,-2.323577
1.17,-2.111785
1.18,-1.806689
1.19,-1.411194
1.2,-0.947577
1.21,-0.450061
1.22,0.05133
1.23,0.53787
1.24,0.993415
1.25,1.408927
1.26,1.783114
1.27,2.11533
1.28,2.408803
1.29,2.667408
1.3,2.893406
1.31,3.091314
1.32,3.259521
1.33,3.400608
1.34,3.517158
1.35,3.607879
